name,continent,country,destinationName,flightNumber,airlineCode_iata,destination_iata,airlineName,aircraftTerminal,Duration,Cost,Climate,Date,Time,Average_Cost
Houari Boumediene Airport,Africa,Algeria,Algiers,AH 4063,AH,ALG,Air Algerie,1,7h 35m,AED 2055,Hot,6/10/2024,3:59,low
Houari Boumediene Airport,Africa,Algeria,Algiers,EK 757,EK,ALG,Emirates,3,7h 35m,AED 1886,Hot,8/12/2024,5:28,low
Kotoka International Airport,Africa,Ghana,Accra,EK 787,EK,ACC,Emirates,3,8h 25m,AED 3430,Hot,6/17/2024,11:53,low
Nnamdi Azikiwe International Airport,Africa,Nigeria,Abuja,EK 785,EK,ABV,Emirates,3,8h 28m,AED 1587,Hot,6/22/2024,13:07,Medium
Nnamdi Azikiwe International Airport,Africa,Nigeria,Abuja,EK 785,EK,ABV,Emirates,3,8h 28m,AED 1587,Hot,6/4/2024,5:40,Medium
Nnamdi Azikiwe International Airport,Africa,Nigeria,Abuja,EK 785,EK,ABV,Emirates,3,8h 28m,AED 1587,Hot,6/10/2024,19:53,Medium
Nnamdi Azikiwe International Airport,Africa,Nigeria,Abuja,EK 785,EK,ABV,Emirates,3,8h 28m,AED 1587,Hot,6/28/2024,11:15,Medium
Nnamdi Azikiwe International Airport,Africa,Nigeria,Abuja,EK 785,EK,ABV,Emirates,3,8h 28m,AED 1587,Hot,6/13/2024,0:14,Medium
Nnamdi Azikiwe International Airport,Africa,Nigeria,Abuja,EK 785,EK,ABV,Emirates,3,8h 28m,AED 1587,Hot,6/28/2024,18:49,Medium
Nnamdi Azikiwe International Airport,Africa,Nigeria,Abuja,EK 785,EK,ABV,Emirates,3,8h 28m,AED 1587,Hot,4/2/2024,20:05,Medium
Nnamdi Azikiwe International Airport,Africa,Nigeria,Abuja,EK 785,EK,ABV,Emirates,3,8h 28m,AED 1587,Hot,4/4/2024,11:44,Medium
Nnamdi Azikiwe International Airport,Africa,Nigeria,Abuja,EK 785,EK,ABV,Emirates,3,8h 28m,AED 1587,Hot,4/11/2024,21:52,Medium
Nnamdi Azikiwe International Airport,Africa,Nigeria,Abuja,EK 785,EK,ABV,Emirates,3,8h 28m,AED 1587,Hot,4/11/2024,7:58,Medium
Nnamdi Azikiwe International Airport,Africa,Nigeria,Abuja,EK 785,EK,ABV,Emirates,3,8h 28m,AED 1587,Hot,4/30/2024,22:32,Medium
Nnamdi Azikiwe International Airport,Africa,Nigeria,Abuja,EK 785,EK,ABV,Emirates,3,8h 28m,AED 1587,Hot,10/3/2024,4:02,Medium
Nnamdi Azikiwe International Airport,Africa,Nigeria,Abuja,EK 785,EK,ABV,Emirates,3,8h 28m,AED 1587,Hot,4/8/2024,11:37,Medium
Nnamdi Azikiwe International Airport,Africa,Nigeria,Abuja,EK 785,EK,ABV,Emirates,3,8h 28m,AED 1587,Hot,6/10/2024,16:05,Medium
Nnamdi Azikiwe International Airport,Africa,Nigeria,Abuja,EK 785,EK,ABV,Emirates,3,8h 28m,AED 1587,Hot,5/18/2024,17:31,Medium
Nnamdi Azikiwe International Airport,Africa,Nigeria,Abuja,EK 785,EK,ABV,Emirates,3,8h 28m,AED 1587,Hot,11/17/2024,12:27,Medium
Nnamdi Azikiwe International Airport,Africa,Nigeria,Abuja,EK 785,EK,ABV,Emirates,3,8h 28m,AED 1587,Hot,10/23/2024,3:55,Medium
Nnamdi Azikiwe International Airport,Africa,Nigeria,Abuja,EK 785,EK,ABV,Emirates,3,8h 28m,AED 1587,Hot,7/13/2024,1:57,Medium
Nnamdi Azikiwe International Airport,Africa,Nigeria,Abuja,EK 785,EK,ABV,Emirates,3,8h 28m,AED 1587,Hot,7/24/2024,6:20,Medium
Nnamdi Azikiwe International Airport,Africa,Nigeria,Abuja,EK 785,EK,ABV,Emirates,3,8h 28m,AED 1587,Hot,7/3/2024,16:23,Medium
Nnamdi Azikiwe International Airport,Africa,Nigeria,Abuja,EK 785,EK,ABV,Emirates,3,8h 28m,AED 1587,Hot,6/28/2024,11:54,Medium
Nnamdi Azikiwe International Airport,Africa,Nigeria,Abuja,EK 785,EK,ABV,Emirates,3,8h 28m,AED 1587,Hot,7/11/2024,19:18,Medium
Nnamdi Azikiwe International Airport,Africa,Nigeria,Abuja,EK 785,EK,ABV,Emirates,3,8h 28m,AED 1587,Hot,12/14/2024,8:15,Medium
Nnamdi Azikiwe International Airport,Africa,Nigeria,Abuja,EK 785,EK,ABV,Emirates,3,8h 28m,AED 1587,Hot,5/29/2024,18:26,Medium
Nnamdi Azikiwe International Airport,Africa,Nigeria,Abuja,EK 785,EK,ABV,Emirates,3,8h 28m,AED 1587,Hot,5/1/2024,16:15,Medium
Nnamdi Azikiwe International Airport,Africa,Nigeria,Abuja,EK 785,EK,ABV,Emirates,3,8h 28m,AED 1587,Hot,6/14/2024,16:53,Medium
Nnamdi Azikiwe International Airport,Africa,Nigeria,Abuja,EK 785,EK,ABV,Emirates,3,8h 28m,AED 1587,Hot,4/23/2024,17:21,Medium
Nnamdi Azikiwe International Airport,Africa,Nigeria,Abuja,EK 785,EK,ABV,Emirates,3,8h 28m,AED 1587,Hot,11/29/2024,9:29,Medium
Nnamdi Azikiwe International Airport,Africa,Nigeria,Abuja,EK 785,EK,ABV,Emirates,3,8h 28m,AED 1587,Hot,5/4/2024,10:25,Medium
Nnamdi Azikiwe International Airport,Africa,Nigeria,Abuja,EK 785,EK,ABV,Emirates,3,8h 28m,AED 1587,Hot,4/16/2024,6:31,Medium
Nnamdi Azikiwe International Airport,Africa,Nigeria,Abuja,EK 785,EK,ABV,Emirates,3,8h 28m,AED 1587,Hot,7/20/2024,19:30,Medium
Nnamdi Azikiwe International Airport,Africa,Nigeria,Abuja,EK 785,EK,ABV,Emirates,3,8h 28m,AED 1587,Hot,7/29/2024,16:41,Medium
Nnamdi Azikiwe International Airport,Africa,Nigeria,Abuja,EK 785,EK,ABV,Emirates,3,8h 28m,AED 1587,Hot,5/28/2024,10:40,Medium
Nnamdi Azikiwe International Airport,Africa,Nigeria,Abuja,EK 785,EK,ABV,Emirates,3,8h 28m,AED 1587,Hot,9/5/2024,12:24,Medium
Nnamdi Azikiwe International Airport,Africa,Nigeria,Abuja,EK 785,EK,ABV,Emirates,3,8h 28m,AED 1587,Hot,11/17/2024,20:05,Medium
Nnamdi Azikiwe International Airport,Africa,Nigeria,Abuja,EK 785,EK,ABV,Emirates,3,8h 28m,AED 1587,Hot,9/15/2024,23:36,Medium
Nnamdi Azikiwe International Airport,Africa,Nigeria,Abuja,EK 785,EK,ABV,Emirates,3,8h 28m,AED 1587,Hot,4/3/2024,21:58,Medium
Nnamdi Azikiwe International Airport,Africa,Nigeria,Abuja,EK 785,EK,ABV,Emirates,3,8h 28m,AED 1587,Hot,7/19/2024,15:09,Medium
Nnamdi Azikiwe International Airport,Africa,Nigeria,Abuja,EK 785,EK,ABV,Emirates,3,8h 28m,AED 1587,Hot,9/2/2024,21:53,Medium
